timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767800638,50.25025025025174,0.40040040040040065,49.34934934934765,0,0,3573936,342332,1259180,1972396,0,83148,66,52
1767800643,50.35035035034888,0.4004004004003824,49.24924924925109,0,0,3573940,342332,1259180,1972400,6553,0,144,123
1767800648,50.4000000000002,0.30000000000001137,49.2999999999995,0,0,3573940,342284,1259180,1972448,6553,0,66,52
1767800653,50.40080160320605,0.20040080160323737,49.39879759519093,0,0,3573944,342284,1259180,1972452,3276,819,177,160
1767800658,50.300601202405105,0.5010020040079866,49.19839679358676,0,0,3573944,342016,1259180,1972720,3276,0,64,48
1767800663,50.9490509490495,1.8981018981018338,47.152847152848665,0,0,3573536,345768,1254936,1972804,31948,38400,3351,1111
1767800668,50.249750249751735,0.3996003996004715,49.25074925074764,0.09990009990015337,0,3573536,347228,1253424,1972856,3276,409,79,66
1767800673,50.300601202404536,0.7014028056111528,48.8977955911828,0,0.10020040080160311,3573776,347456,1253424,1972868,9830,102,131,110
1767800678,50.10000000000219,0.300000000000025,49.49999999999816,0,0,3573808,347440,1253424,1972916,3276,819,66,52
1767800683,50.35035035034946,0.4004004004004535,49.24924924924995,0,0,3573808,347436,1253424,1972920,3276,81920,1321,10251
1767800688,50.250250250248875,0.7007007007006159,49.04904904905108,0,0,3573808,347164,1253424,1973192,6553,0,90,61
1767800693,50.25025025025117,0.2002002002001647,49.54954954954881,0,0,3573808,347160,1253424,1973196,4096,71782,159,141
1767800698,50.350350350351746,0.40040040040047176,49.24924924924764,0,0,3573820,351220,1249328,1973244,4915,6963,52,39
1767800703,50.250250250248875,0.3003003003003046,49.4494494494511,0,0,3573820,351212,1249328,1973252,3276,819,144,123
1767800708,50.199999999999825,0.39999999999992036,49.400000000000546,0,0,3573820,351164,1249328,1973300,0,18841,66,52
1767800713,50.250752256771804,0.30090270812439057,49.44834503510352,0,0,3573820,351160,1249328,1973304,4096,819,177,160
1767800718,50.35035035034888,0.5005005005004601,49.149149149151086,0,0,3573820,350892,1249328,1973572,2457,0,64,48
1767800723,50.3000000000003,0.30000000000001137,49.29999999999837,0,0,3573820,350888,1249328,1973576,0,79667,159,141
1767800728,50.25025025025117,0.40040040040047176,49.34934934934879,0,0,3573820,350840,1249328,1973624,0,3584,90,61
1767800733,50.29999999999744,0.2999999999999977,49.40000000000171,0,0,3573820,350836,1249328,1973628,0,7372,188,169
1767800738,50.3000000000003,0.30000000000001137,49.400000000000546,0,0,3573824,350788,1249328,1973680,0,0,66,52
1767800743,50.35035035035118,0.2002002002001647,49.449449449447656,0,0,3573824,350784,1249328,1973684,0,0,3136,10347
1767800748,50.25025025025174,0.6006006006006365,49.14914914914763,0,0,3573824,350512,1249328,1973956,0,0,64,48
1767800753,50.30060120240224,0.30060120240480676,49.39879759519323,0,0,3573824,350508,1249328,1973960,0,5324,133,114
1767800758,50.34965034964946,0.3996003996003114,49.25074925074995,0,0,3573824,350460,1249328,1974008,0,83046,79,66
1767800763,50.300601202406824,0.3006012024048342,49.398797595188626,0,0,3573824,350456,1249328,1974012,0,0,131,110
1767800768,50.199600798405285,0.29940119760481587,49.30139720558716,0,0.09980039920160161,3573824,350404,1249328,1974064,0,7372,52,39
1767800773,50.30060120240282,0.20040080160315704,49.4989979959936,0,0,3573824,350400,1249328,1974068,0,0,190,174
1767800778,50.29999999999972,0.6000000000000227,49.10000000000082,0,0,3573824,350136,1249328,1974332,0,1638,77,61
1767800783,50.30060120240282,0.30060120240480676,49.39879759519209,0,0,3573824,350132,1249328,1974336,0,819,125,106
1767800788,50.300601202406824,0.3006012024048342,49.398797595188626,0,0,3573828,350084,1249328,1974388,0,4403,79,66
1767800793,50.29999999999972,0.40000000000006253,49.2999999999995,0,0,3573828,350080,1249328,1974392,0,0,133,114
1767800798,50.3006012024074,0.4008016032063506,49.298597194387106,0,0,3573828,350028,1249328,1974444,4915,0,64,48
1767800803,50.350350350346595,0.30030030030029087,49.349349349352266,0,0,3573828,350024,1249328,1974448,3276,90112,1306,10238
1767800808,50.3000000000003,0.6000000000000227,49.00000000000091,0,0,3573828,349760,1249328,1974712,3276,0,114,82
1767800813,50.20040080160532,0.2004008016031753,49.59919839679051,0,0,3573820,350500,1248576,1974716,0,0,133,114
1767800818,50.199999999999825,0.5000000000001137,49.30000000000063,0,0,3573836,350464,1248576,1974768,0,4096,52,39
1767800823,50.25025025025117,0.300300300300176,49.4494494494488,0,0,3573852,351232,1247820,1974772,0,0,144,123
1767800828,50.29999999999573,0.4000000000000261,49.300000000004104,0,0,3573852,351184,1247820,1974820,0,0,52,39
1767800833,50.300601202406824,0.3006012024048342,49.398797595188626,0,0,3573852,351932,1247064,1974828,0,819,177,160
1767800838,50.350350350351746,0.500500500500483,49.14914914914763,0,0,3573852,353172,1245552,1975100,0,134348,64,48
1767800843,50.199999999999825,0.40000000000006253,49.400000000000546,0,0,3573852,354680,1244040,1975104,0,0,133,114
1767800848,50.25025025025117,0.4004004004003294,49.34934934934765,0,0,3573856,354636,1244040,1975152,0,716,52,39
1767800853,50.25025025024716,0.30030030030029087,49.44944944945227,0,0,3573856,354632,1244040,1975156,0,0,133,114
1767800858,50.25025025025117,0.30030030030031823,49.34934934934879,0,0,3573856,354580,1244040,1975208,0,0,64,62
1767800863,50.25025025025117,0.30030030030031823,49.34934934934879,0.10010010010015351,0,3573856,354576,1244040,1975212,95027,0,3151,10343
1767800868,50.4000000000002,0.4999999999999716,49.099999999999675,0,0,3573860,355576,1242780,1975476,0,0,75,56
1767800873,50.3000000000003,0.30000000000001137,49.29999999999837,0,0.10000000000000009,3573852,356068,1242276,1975480,4915,9011,133,114
1767800878,50.29999999999972,0.30000000000001137,49.400000000000546,0,0,3573852,356016,1242276,1975532,4915,1638,66,52
1767800883,50.20040080160073,0.4008016032064565,49.39879759519323,0,0,3573852,356264,1242024,1975536,9830,81920,144,123
1767800888,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3573852,356212,1242024,1975588,3276,0,66,52
1767800893,50.45045045045232,0.2002002002001647,49.34934934934652,0,0,3573852,356712,1241520,1975592,8192,819,164,147
1767800898,50.350350350346595,0.5005005005004375,49.149149149153395,0,0,3573852,356452,1241520,1975852,3276,0,77,61
1767800903,50.250250250255746,0.3003003003003456,49.449449449444195,0,0,3573852,357708,1240260,1975856,0,2457,133,114
1767800908,50.25025025024659,0.30030030030029087,49.3493493493534,0,0,3573852,357656,1240260,1975908,0,24576,66,52
1767800913,50.25025025025117,0.30030030030031823,49.449449449447656,0,0,3573852,357652,1240260,1975912,0,0,120,101
1767800918,50.35035035035118,0.30030030030031823,49.34934934934879,0,0,3573852,355680,1242184,1975960,0,0,77,61
1767800923,50.250752256770085,0.40120361083240746,49.3480441323978,0,0,3573852,353416,1244440,1975968,0,81920,3136,10314
1767800928,50.34965034964889,0.5994005994006091,49.05094905094993,0,0,3573852,353152,1244440,1976232,0,0,75,56
1767800933,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3573852,353148,1244440,1976236,0,0,120,101
1767800938,50.300601202406824,0.3006012024048342,49.398797595188626,0,0,3573852,353096,1244440,1976288,0,3891,79,66
1767800943,50.25025025024659,0.30030030030029087,49.349349349352266,0,0,3573852,357440,1240092,1976292,0,7372,144,123
1767800948,50.200000000000955,0.39999999999992036,49.39999999999941,0,0,3573852,357392,1240092,1976340,0,0,52,39
1767800953,50.25025025025117,0.40040040040047176,49.34934934934879,0,0,3573852,358900,1238580,1976344,0,0,177,160
1767800958,50.399999999999636,0.4999999999999716,49.099999999999675,0,0,3573852,358888,1238328,1976608,0,127795,77,61
1767800963,50.30060120240224,0.30060120240480676,49.39879759519323,0,0,3573852,359136,1238076,1976612,0,0,133,114
1767800968,50.29999999999972,0.30000000000001137,49.400000000000546,0,0,3573852,359084,1238076,1976664,0,614,66,52
1767800973,50.25025025025231,0.40040040040047176,49.34934934934765,0,0,3573852,358296,1238860,1976668,0,0,144,123
1767800978,50.300601202406824,0.3006012024046918,49.39879759518748,0,0,3573852,356732,1240372,1976720,0,7372,52,39
1767800983,50.29999999999972,0.30000000000001137,49.400000000000546,0,0,3573852,358964,1238132,1976728,0,0,1321,10247
1767800988,50.35035035035118,0.5005005005006252,49.14914914914876,0,0,3573852,358936,1237892,1976996,0,0,101,69
1767800993,50.30060120240224,0.30060120240480676,49.39879759519323,0,0,3573852,359912,1236912,1977000,0,0,133,114
1767800998,50.14985014985,0.3996003996003114,49.35064935064882,0,0,3573852,359108,1237668,1977048,0,81920,52,39
1767801003,50.35035035035118,0.500500500500483,49.14914914914876,0,0,3573840,359088,1237672,1977052,0,0,144,123
